dteday,weathersit,season,weekday,casual,registered,cnt
2012-05-07,Misty,Summer,Monday,1008,5265,6273
2012-05-08,Misty,Summer,Tuesday,738,4990,5728
2012-05-09,Misty,Summer,Wednesday,620,4097,4717
2012-05-10,Clear,Summer,Thursday,1026,5546,6572
2012-05-11,Clear,Summer,Friday,1319,5711,7030
2012-05-12,Clear,Summer,Saturday,2622,4807,7429
2012-05-13,Clear,Summer,Sunday,2172,3946,6118
2012-05-14,Misty,Summer,Monday,342,2501,2843
2012-05-15,Misty,Summer,Tuesday,625,4490,5115
2012-05-16,Clear,Summer,Wednesday,991,6433,7424
2012-05-17,Clear,Summer,Thursday,1242,6142,7384
2012-05-18,Clear,Summer,Friday,1521,6118,7639
2012-05-19,Clear,Summer,Saturday,3410,4884,8294
2012-05-20,Clear,Summer,Sunday,2704,4425,7129
2012-05-21,Misty,Summer,Monday,630,3729,4359
2012-05-22,Misty,Summer,Tuesday,819,5254,6073
2012-05-23,Misty,Summer,Wednesday,766,4494,5260
2012-05-24,Clear,Summer,Thursday,1059,5711,6770
2012-05-25,Clear,Summer,Friday,1417,5317,6734
2012-05-26,Clear,Summer,Saturday,2855,3681,6536
2012-05-27,Clear,Summer,Sunday,3283,3308,6591
2012-05-28,Clear,Summer,Monday,2557,3486,6043
2012-05-29,Clear,Summer,Tuesday,880,4863,5743
2012-05-30,Misty,Summer,Wednesday,745,6110,6855
2012-05-31,Clear,Summer,Thursday,1100,6238,7338
2012-06-01,Misty,Summer,Friday,533,3594,4127
2012-06-02,Clear,Summer,Saturday,2795,5325,8120
2012-06-03,Clear,Summer,Sunday,2494,5147,7641
2012-06-04,Clear,Summer,Monday,1071,5927,6998
2012-06-05,Misty,Summer,Tuesday,968,6033,7001
2012-06-06,Clear,Summer,Wednesday,1027,6028,7055
2012-06-07,Clear,Summer,Thursday,1038,6456,7494
2012-06-08,Clear,Summer,Friday,1488,6248,7736
2012-06-09,Clear,Summer,Saturday,2708,4790,7498
2012-06-10,Clear,Summer,Sunday,2224,4374,6598
2012-06-11,Misty,Summer,Monday,1017,5647,6664
2012-06-12,Misty,Summer,Tuesday,477,4495,4972
2012-06-13,Clear,Summer,Wednesday,1173,6248,7421
2012-06-14,Clear,Summer,Thursday,1180,6183,7363
2012-06-15,Clear,Summer,Friday,1563,6102,7665
2012-06-16,Clear,Summer,Saturday,2963,4739,7702
2012-06-17,Clear,Summer,Sunday,2634,4344,6978
2012-06-18,Misty,Summer,Monday,653,4446,5099
2012-06-19,Clear,Summer,Tuesday,968,5857,6825
2012-06-20,Clear,Summer,Wednesday,872,5339,6211
2012-06-21,Clear,Fall,Thursday,778,5127,5905
2012-06-22,Clear,Fall,Friday,964,4859,5823
2012-06-23,Clear,Fall,Saturday,2657,4801,7458
2012-06-24,Clear,Fall,Sunday,2551,4340,6891
2012-06-25,Clear,Fall,Monday,1139,5640,6779
2012-06-26,Clear,Fall,Tuesday,1077,6365,7442
2012-06-27,Clear,Fall,Wednesday,1077,6258,7335
2012-06-28,Clear,Fall,Thursday,921,5958,6879
2012-06-29,Clear,Fall,Friday,829,4634,5463
2012-06-30,Clear,Fall,Saturday,1455,4232,5687
2012-07-01,Clear,Fall,Sunday,1421,4110,5531
2012-07-02,Clear,Fall,Monday,904,5323,6227
2012-07-03,Clear,Fall,Tuesday,1052,5608,6660
2012-07-04,Clear,Fall,Wednesday,2562,4841,7403
2012-07-05,Clear,Fall,Thursday,1405,4836,6241
2012-07-06,Clear,Fall,Friday,1366,4841,6207
2012-07-07,Clear,Fall,Saturday,1448,3392,4840
2012-07-08,Clear,Fall,Sunday,1203,3469,4672
2012-07-09,Misty,Fall,Monday,998,5571,6569
2012-07-10,Misty,Fall,Tuesday,954,5336,6290
2012-07-11,Clear,Fall,Wednesday,975,6289,7264
2012-07-12,Clear,Fall,Thursday,1032,6414,7446
2012-07-13,Misty,Fall,Friday,1511,5988,7499
2012-07-14,Misty,Fall,Saturday,2355,4614,6969
2012-07-15,Clear,Fall,Sunday,1920,4111,6031
2012-07-16,Clear,Fall,Monday,1088,5742,6830
2012-07-17,Clear,Fall,Tuesday,921,5865,6786
2012-07-18,Clear,Fall,Wednesday,799,4914,5713
2012-07-19,Clear,Fall,Thursday,888,5703,6591
2012-07-20,Misty,Fall,Friday,747,5123,5870
2012-07-21,Light Rainsnow,Fall,Saturday,1264,3195,4459
2012-07-22,Misty,Fall,Sunday,2544,4866,7410
2012-07-23,Clear,Fall,Monday,1135,5831,6966
2012-07-24,Clear,Fall,Tuesday,1140,6452,7592
2012-07-25,Clear,Fall,Wednesday,1383,6790,8173
2012-07-26,Clear,Fall,Thursday,1036,5825,6861
2012-07-27,Clear,Fall,Friday,1259,5645,6904
2012-07-28,Clear,Fall,Saturday,2234,4451,6685
2012-07-29,Clear,Fall,Sunday,2153,4444,6597
2012-07-30,Clear,Fall,Monday,1040,6065,7105
2012-07-31,Clear,Fall,Tuesday,968,6248,7216
2012-08-01,Clear,Fall,Wednesday,1074,6506,7580
2012-08-02,Clear,Fall,Thursday,983,6278,7261
2012-08-03,Misty,Fall,Friday,1328,5847,7175
2012-08-04,Clear,Fall,Saturday,2345,4479,6824
2012-08-05,Clear,Fall,Sunday,1707,3757,5464
2012-08-06,Misty,Fall,Monday,1233,5780,7013
2012-08-07,Misty,Fall,Tuesday,1278,5995,7273
2012-08-08,Misty,Fall,Wednesday,1263,6271,7534
2012-08-09,Clear,Fall,Thursday,1196,6090,7286
2012-08-10,Misty,Fall,Friday,1065,4721,5786
2012-08-11,Misty,Fall,Saturday,2247,4052,6299
2012-08-12,Clear,Fall,Sunday,2182,4362,6544
2012-08-13,Clear,Fall,Monday,1207,5676,6883
2012-08-14,Clear,Fall,Tuesday,1128,5656,6784
2012-08-15,Clear,Fall,Wednesday,1198,6149,7347
2012-08-16,Clear,Fall,Thursday,1338,6267,7605
2012-08-17,Clear,Fall,Friday,1483,5665,7148
2012-08-18,Clear,Fall,Saturday,2827,5038,7865
2012-08-19,Misty,Fall,Sunday,1208,3341,4549
2012-08-20,Misty,Fall,Monday,1026,5504,6530
2012-08-21,Clear,Fall,Tuesday,1081,5925,7006
2012-08-22,Clear,Fall,Wednesday,1094,6281,7375
2012-08-23,Clear,Fall,Thursday,1363,6402,7765
2012-08-24,Misty,Fall,Friday,1325,6257,7582
2012-08-25,Misty,Fall,Saturday,1829,4224,6053
2012-08-26,Misty,Fall,Sunday,1483,3772,5255
2012-08-27,Clear,Fall,Monday,989,5928,6917
2012-08-28,Clear,Fall,Tuesday,935,6105,7040
2012-08-29,Clear,Fall,Wednesday,1177,6520,7697
2012-08-30,Clear,Fall,Thursday,1172,6541,7713
2012-08-31,Clear,Fall,Friday,1433,5917,7350
2012-09-01,Misty,Fall,Saturday,2352,3788,6140
2012-09-02,Misty,Fall,Sunday,2613,3197,5810
2012-09-03,Clear,Fall,Monday,1965,4069,6034
2012-09-04,Clear,Fall,Tuesday,867,5997,6864
2012-09-05,Clear,Fall,Wednesday,832,6280,7112
2012-09-06,Misty,Fall,Thursday,611,5592,6203
2012-09-07,Clear,Fall,Friday,1045,6459,7504
2012-09-08,Misty,Fall,Saturday,1557,4419,5976
2012-09-09,Clear,Fall,Sunday,2570,5657,8227
2012-09-10,Clear,Fall,Monday,1118,6407,7525
2012-09-11,Clear,Fall,Tuesday,1070,6697,7767
2012-09-12,Clear,Fall,Wednesday,1050,6820,7870
2012-09-13,Clear,Fall,Thursday,1054,6750,7804
2012-09-14,Clear,Fall,Friday,1379,6630,8009
2012-09-15,Clear,Fall,Saturday,3160,5554,8714
2012-09-16,Clear,Fall,Sunday,2166,5167,7333
2012-09-17,Misty,Fall,Monday,1022,5847,6869
2012-09-18,Misty,Fall,Tuesday,371,3702,4073
2012-09-19,Clear,Fall,Wednesday,788,6803,7591
2012-09-20,Clear,Fall,Thursday,939,6781,7720
2012-09-21,Clear,Fall,Friday,1250,6917,8167
2012-09-22,Clear,Fall,Saturday,2512,5883,8395
2012-09-23,Clear,Winter,Sunday,2454,5453,7907
2012-09-24,Clear,Winter,Monday,1001,6435,7436
2012-09-25,Clear,Winter,Tuesday,845,6693,7538
2012-09-26,Clear,Winter,Wednesday,787,6946,7733
2012-09-27,Misty,Winter,Thursday,751,6642,7393
2012-09-28,Misty,Winter,Friday,1045,6370,7415
2012-09-29,Clear,Winter,Saturday,2589,5966,8555
2012-09-30,Clear,Winter,Sunday,2015,4874,6889
2012-10-01,Misty,Winter,Monday,763,6015,6778
2012-10-02,Light Rainsnow,Winter,Tuesday,315,4324,4639
2012-10-03,Misty,Winter,Wednesday,728,6844,7572
2012-10-04,Misty,Winter,Thursday,891,6437,7328
2012-10-05,Clear,Winter,Friday,1516,6640,8156
2012-10-06,Clear,Winter,Saturday,3031,4934,7965
2012-10-07,Misty,Winter,Sunday,781,2729,3510
2012-10-08,Misty,Winter,Monday,874,4604,5478
2012-10-09,Misty,Winter,Tuesday,601,5791,6392
2012-10-10,Clear,Winter,Wednesday,780,6911,7691
2012-10-11,Clear,Winter,Thursday,834,6736,7570
2012-10-12,Clear,Winter,Friday,1060,6222,7282
2012-10-13,Clear,Winter,Saturday,2252,4857,7109
2012-10-14,Clear,Winter,Sunday,2080,4559,6639
2012-10-15,Misty,Winter,Monday,760,5115,5875
2012-10-16,Clear,Winter,Tuesday,922,6612,7534
2012-10-17,Clear,Winter,Wednesday,979,6482,7461
2012-10-18,Misty,Winter,Thursday,1008,6501,7509
2012-10-19,Misty,Winter,Friday,753,4671,5424
2012-10-20,Clear,Winter,Saturday,2806,5284,8090
2012-10-21,Clear,Winter,Sunday,2132,4692,6824
2012-10-22,Clear,Winter,Monday,830,6228,7058
2012-10-23,Clear,Winter,Tuesday,841,6625,7466
2012-10-24,Clear,Winter,Wednesday,795,6898,7693
2012-10-25,Misty,Winter,Thursday,875,6484,7359
2012-10-26,Misty,Winter,Friday,1182,6262,7444
2012-10-27,Misty,Winter,Saturday,2643,5209,7852
2012-10-28,Misty,Winter,Sunday,998,3461,4459
2012-10-29,Light Rainsnow,Winter,Monday,2,20,22
2012-10-30,Misty,Winter,Tuesday,87,1009,1096
2012-10-31,Misty,Winter,Wednesday,419,5147,5566
2012-11-01,Misty,Winter,Thursday,466,5520,5986
2012-11-02,Clear,Winter,Friday,618,5229,5847
2012-11-03,Misty,Winter,Saturday,1029,4109,5138
2012-11-04,Clear,Winter,Sunday,1201,3906,5107
2012-11-05,Clear,Winter,Monday,378,4881,5259
2012-11-06,Clear,Winter,Tuesday,466,5220,5686
2012-11-07,Misty,Winter,Wednesday,326,4709,5035
2012-11-08,Clear,Winter,Thursday,340,4975,5315
2012-11-09,Clear,Winter,Friday,709,5283,5992
2012-11-10,Clear,Winter,Saturday,2090,4446,6536
2012-11-11,Clear,Winter,Sunday,2290,4562,6852
2012-11-12,Clear,Winter,Monday,1097,5172,6269
2012-11-13,Misty,Winter,Tuesday,327,3767,4094
2012-11-14,Clear,Winter,Wednesday,373,5122,5495
2012-11-15,Misty,Winter,Thursday,320,5125,5445
2012-11-16,Clear,Winter,Friday,484,5214,5698
2012-11-17,Clear,Winter,Saturday,1313,4316,5629
2012-11-18,Clear,Winter,Sunday,922,3747,4669
2012-11-19,Misty,Winter,Monday,449,5050,5499
2012-11-20,Misty,Winter,Tuesday,534,5100,5634
2012-11-21,Clear,Winter,Wednesday,615,4531,5146
2012-11-22,Clear,Winter,Thursday,955,1470,2425
2012-11-23,Clear,Winter,Friday,1603,2307,3910
2012-11-24,Clear,Winter,Saturday,532,1745,2277
2012-11-25,Clear,Winter,Sunday,309,2115,2424
2012-11-26,Clear,Winter,Monday,337,4750,5087
2012-11-27,Misty,Winter,Tuesday,123,3836,3959
2012-11-28,Clear,Winter,Wednesday,198,5062,5260
2012-11-29,Clear,Winter,Thursday,243,5080,5323
2012-11-30,Clear,Winter,Friday,362,5306,5668
2012-12-01,Misty,Winter,Saturday,951,4240,5191
2012-12-02,Misty,Winter,Sunday,892,3757,4649
2012-12-03,Clear,Winter,Monday,555,5679,6234
2012-12-04,Clear,Winter,Tuesday,551,6055,6606
2012-12-05,Clear,Winter,Wednesday,331,5398,5729
2012-12-06,Clear,Winter,Thursday,340,5035,5375
2012-12-07,Misty,Winter,Friday,349,4659,5008
2012-12-08,Misty,Winter,Saturday,1153,4429,5582
2012-12-09,Misty,Winter,Sunday,441,2787,3228
2012-12-10,Misty,Winter,Monday,329,4841,5170
2012-12-11,Misty,Winter,Tuesday,282,5219,5501
2012-12-12,Misty,Winter,Wednesday,310,5009,5319
2012-12-13,Clear,Winter,Thursday,425,5107,5532
2012-12-14,Clear,Winter,Friday,429,5182,5611
2012-12-15,Clear,Winter,Saturday,767,4280,5047
2012-12-16,Misty,Winter,Sunday,538,3248,3786
2012-12-17,Misty,Winter,Monday,212,4373,4585
2012-12-18,Clear,Winter,Tuesday,433,5124,5557
2012-12-19,Clear,Winter,Wednesday,333,4934,5267
2012-12-20,Misty,Winter,Thursday,314,3814,4128
2012-12-21,Misty,Spring,Friday,221,3402,3623
2012-12-22,Clear,Spring,Saturday,205,1544,1749
2012-12-23,Clear,Spring,Sunday,408,1379,1787
2012-12-24,Misty,Spring,Monday,174,746,920
2012-12-25,Misty,Spring,Tuesday,440,573,1013
2012-12-26,Light Rainsnow,Spring,Wednesday,9,432,441
2012-12-27,Misty,Spring,Thursday,247,1867,2114
2012-12-28,Misty,Spring,Friday,644,2451,3095
2012-12-29,Misty,Spring,Saturday,159,1182,1341
2012-12-30,Clear,Spring,Sunday,364,1432,1796
2012-12-31,Misty,Spring,Monday,439,2290,2729
